"Wining Team","Losing Team","Wining Score","Losing Score"
"Oral Roberts","N Dakota St",66,65
"Oregon St","California",77,71
"Pacific","Loy Marymount",60,58
"Pepperdine","St Mary's CA",67,64
"Pittsburgh","Notre Dame",86,82
"Portland St","Montana St",77,70
"Princeton","Penn",73,71
"S Carolina St","NC Central",91,75
"Sam Houston St","New Orleans",73,70
"Santa Clara","San Diego",65,53
"Savannah St","NC A&T",75,68
"SC Upstate","NJIT",80,78
"Seattle","Chicago St",66,50
"South Carolina","Vanderbilt",69,65
"Southern Miss","Old Dominion",73,71
"Southern Univ","Grambling",66,61
"St Bonaventure","Massachusetts",88,77
"St Francis NY","Robert Morris",56,49
"St Francis PA","Long Island",72,65
"St Peter's","Canisius",70,53
"Stony Brook","MA Lowell",86,59
"TAM C. Christi","McNeese St",77,68
"TCU","Texas",58,57
"Temple","East Carolina",78,60
"Tennessee St","Edwardsville",63,60
"Tennessee Tech","Austin Peay",72,66
"Texas A&M","Tennessee",92,88
"Toledo","Miami OH",84,76
"TX Southern","Prairie View",64,38
"UAB","UTEP",87,80
"UC Irvine","UC Riverside",84,68
"UCLA","Arizona St",81,74
"UMBC","Maine",89,76
"UNC Asheville","Charleston So",83,73
"UNC Wilmington","Delaware",85,67
"USC","Arizona",103,101
"Utah Valley","UTRGV",98,65
"W Carolina","VMI",73,52
"WKU","FL Atlantic",86,82
"Wagner","Sacred Heart",76,59
"Washington","Washington St",99,95
"Weber St","N Colorado",85,68
"West Virginia","Oklahoma St",77,60
"WI Milwaukee","Cleveland St",65,62
"Wichita St","S Illinois",83,58
"William & Mary","Northeastern",78,60
"Wofford","Samford",69,64
"Wright St","N Kentucky",60,46
"Wyoming","UNLV",59,57
"Youngstown St","WI Green Bay",103,93
"Cincinnati","South Florida",54,51
"Clemson","Louisville",66,62
"Illinois","Purdue",84,70
"Indiana","Ohio St",85,60
"Michigan St","Penn St",92,65
"Oakland","IL Chicago",86,61
"Oregon","Stanford",71,58
"Richmond","Fordham",93,82
"SMU","UCF",88,73
"St Joseph's PA","Rhode Island",72,67
"Tulsa","Tulane",81,67
"VA Commonwealth","St Louis",72,56
"Valparaiso","Detroit",92,74
"Villanova","Butler",60,55
"Wake Forest","NC State",77,74
"Alcorn St","Grambling",69,53
"Ark Pine Bluff","Alabama St",59,55
"Bethune-Cookman","Norfolk St",72,70
"Bucknell","Lehigh",82,76
"Chattanooga","Wofford",77,68
"CS Bakersfield","Chicago St",67,56
"ETSU","VMI",88,51
"Furman","Samford",77,57
"Hampton","Florida A&M",71,65
"Incarnate Word","New Orleans",71,68
"MD E Shore","Morgan St",69,65
"Monmouth NJ","Fairfield",86,74
"MS Valley St","Alabama A&M",79,73
"NC Central","Savannah St",69,46
"S Carolina St","NC A&T",92,85
"Sam Houston St","SE Louisiana",70,63
"Southern Univ","Jackson St",74,66
"TAM C. Christi","Lamar",91,82
"W Carolina","UNC Greensboro",83,77
"Abilene Chr","Northwestern LA",87,72
"Albany NY","New Hampshire",80,75
"Arkansas","Missouri",94,61
"Ball St","W Michigan",74,64
"Bowling Green","Ohio",91,75
"C Michigan","Akron",92,81
"Dartmouth","Canisius",80,69
"Dayton","Davidson",80,74
"E Michigan","Buffalo",81,69
"Evansville","Drake",84,65
"G Washington","Massachusetts",81,70
"Kansas St","Texas Tech",83,70
"Kent","Miami OH",76,68
"Kentucky","Mississippi St",80,74
"Michigan","Maryland",70,67
"N Illinois","Toledo",71,66
"Nebraska","Minnesota",84,59
"Northwestern","Wisconsin",70,65
"Providence","Creighton",50,48
"S Illinois","Illinois St",81,78
"SF Austin","Cent Arkansas",85,64
"Texas","Iowa St",94,91
"Texas A&M","Florida",71,68
"Tulane","South Florida",81,70
"UNLV","New Mexico",86,74
"Vanderbilt","Auburn",75,57
"Virginia","Miami FL",66,58
"West Virginia","Kansas",74,63
"Xavier","DePaul",84,64
"Alabama","South Carolina",73,50
"Baylor","TCU",82,54
"Boise St","Nevada",74,67
"Boston Univ","American Univ",61,50
"Bradley","Loyola-Chicago",54,53
"Cincinnati","Houston",70,59
"Clemson","Duke",68,63
"Colgate","Army",80,66
"Colorado","Oregon St",71,54
"Duquesne","St Louis",81,71
"Florida St","NC State",85,78
"Georgetown","St John's",93,73
"Georgia","Tennessee",81,72
"Hartford","Binghamton",76,72
"Houston Bap","Nicholls St",78,69
"Indiana St","Northern Iowa",74,60
"Jacksonville St","SE Missouri St",74,60
"Lafayette","Holy Cross",65,52
"LSU","Mississippi",90,81
"Maine","MA Lowell",95,81
"Memphis","Temple",67,65
"N Dakota St","South Dakota",66,65
"Navy","Loyola MD",60,52
"Notre Dame","Georgia Tech",72,64
"Ohio St","Rutgers",94,68
"Oklahoma","Oklahoma St",74,72
"Purdue","Penn St",74,57
"Richmond","La Salle",83,61
"San Diego St","Colorado St",69,62
"San Jose St","Wyoming",62,55
"SMU","East Carolina",79,55
"St Bonaventure","Rhode Island",69,64
"St Joseph's PA","George Mason",87,73
"Stony Brook","UMBC",86,74
"Syracuse","Boston College",62,40
"TN Martin","Tennessee Tech",96,90
"UC Irvine","Long Beach St",58,54
"USC","UCLA",89,75
"Utah St","Air Force",79,60
"VA Commonwealth","Fordham",88,54
"Villanova","Marquette",83,68
"Virginia Tech","Wake Forest",93,91
"Wichita St","Missouri St",78,62
"Arizona","Washington",99,67
"Arizona St","Washington St",84,73
"Ark Little Rock","Appalachian St",81,55
"Belmont","Murray St",81,73
"Bryant","St Francis NY",61,59
"BYU","Gonzaga",69,68
"Charleston So","Liberty",64,63
"Chattanooga","W Carolina",77,58
"Coastal Car","Presbyterian",87,58
"CS Sacramento","Idaho St",82,71
"Denver","W Illinois",76,69
"E Illinois","E Kentucky",97,85
"E Washington","Southern Utah",106,80
"ETSU","Samford",81,77
"F Dickinson","St Francis PA",71,59
"FL Atlantic","Southern Miss",58,51
"FL Gulf Coast","NJIT",82,78
"Florida Intl","Louisiana Tech",88,74
"Georgia St","ULM",65,51
"Hawaii","UC Riverside",80,71
"Hofstra","Drexel",69,61
"Idaho","Northern Arizona",83,76
"Iowa","Michigan St",76,59
"Jacksonville","Kennesaw",83,70
"James Madison","Northeastern",75,63
"Long Island","Wagner",71,70
"Longwood","Campbell",74,57
"Louisville","Pittsburgh",59,41
"Loy Marymount","San Francisco",87,83
"Marshall","North Texas",97,78
"Mercer","Furman",69,65
"Montana","N Colorado",73,66
"Morehead St","Edwardsville",70,67
"Mt St Mary's","Robert Morris",76,52
"MTSU","Charlotte",73,72
"N Kentucky","Youngstown St",84,64
"New Mexico St","Missouri KC",65,64
"North Dakota","Montana St",85,68
"North Florida","Lipscomb",95,83
"Oral Roberts","IUPUI",80,71
"Oregon","Utah",77,59
"Radford","UNC Asheville",91,86
"Rice","WKU",83,73
"Rider","Marist",102,100
"S Dakota St","IPFW",92,76
"Sacred Heart","Central Conn",80,78
"San Diego","Portland",82,71
"Santa Barbara","Cal Poly SLO",76,73
"Santa Clara","Pepperdine",62,60
"St Mary's CA","Pacific",78,62
"Stanford","California",77,71
"Stetson","SC Upstate",89,86
"Tennessee St","Austin Peay",66,52
"Texas St","South Alabama",78,67
"Towson","Delaware",79,77
"Tulsa","Connecticut",60,51
"UTRGV","Chicago St",82,72
"UAB","Old Dominion",72,71
"UC Davis","CS Northridge",63,62
"ULL","Ga Southern",74,65
"UNC Wilmington","Elon",91,82
"UT Arlington","Troy",90,63
"Valparaiso","WI Milwaukee",68,56
"Weber St","Portland St",73,58
"WI Green Bay","IL Chicago",78,76
"William & Mary","Col Charleston",63,61
"Winthrop","High Point",86,66
"Wofford","Citadel",86,83
"Wright St","Cleveland St",70,53
"Canisius","Manhattan",65,62
"Dayton","G Washington",77,70
"Evansville","Illinois St",66,55
"Fairfield","Niagara",73,68
"Maine","Albany NY",81,79
"Monmouth NJ","Iona",110,102
"Siena","Quinnipiac",64,52
"Alabama A&M","Alabama St",80,75
"Alcorn St","MS Valley St",93,87
"Appalachian St","Arkansas St",86,72
"Arizona","Washington St",90,66
"Auburn","Kentucky",75,70
"Ball St","Miami OH",48,46
"Baylor","Texas Tech",63,60
"Belmont","Austin Peay",76,58
"Bowling Green","E Michigan",84,79
"Buffalo","C Michigan",74,61
"Butler","St John's",78,58
"Cal Poly SLO","Long Beach St",96,92
"Charleston So","Campbell",82,75
"Chattanooga","ETSU",94,84
"Citadel","Furman",89,86
"Clemson","Miami FL",76,65
"Cleveland St","N Kentucky",70,65
"Coastal Car","High Point",71,68
"Colgate","Bucknell",84,73
"Columbia","Cornell",74,70
"Coppin St","Bethune-Cookman",62,54
"CS Bakersfield","Seattle",79,52
"Davidson","Massachusetts",86,74
"Duquesne","St Bonaventure",95,88
"E Illinois","Morehead St",84,82
"E Washington","Northern Arizona",96,73
"Edwardsville","E Kentucky",67,65
"Elon","Col Charleston",65,64
"FL Atlantic","Louisiana Tech",63,61
"FL Gulf Coast","SC Upstate",85,56
"Florida","Mississippi",80,71
"Florida A&M","Morgan St",72,65
"Fresno St","San Jose St",81,74
"Ga Southern","ULM",66,51
"Gonzaga","San Diego",88,52
"Grambling","Prairie View",66,63
"Grand Canyon","Utah Valley",99,88
"Hampton","NC A&T",79,62
"Harvard","Howard",69,61
"Hawaii","CS Fullerton",86,79
"Houston Bap","New Orleans",73,69
"Idaho St","Portland St",73,70
"Incarnate Word","SE Louisiana",75,71
"Indiana","Minnesota",70,63
"Iowa St","Kansas St",76,63
"IPFW","NE Omaha",106,101
"IUPUI","Denver",76,61
"Jacksonville","Lipscomb",76,73
"Jacksonville St","TN Martin",82,60
"James Madison","Hofstra",86,82
"Kansas","TCU",70,63
"Kent","Ohio",89,82
"Lamar","Northwestern LA",86,82
"Lehigh","Holy Cross",87,66
"Long Island","Bryant",79,61
"Loy Marymount","Santa Clara",76,66
"Loyola-Chicago","Northern Iowa",51,41
"LSU","Arkansas",76,74
"MA Lowell","UMBC",95,89
"Marshall","Rice",94,90
"Maryland","Ohio St",100,65
"McNeese St","Sam Houston St",72,68
"Memphis","South Florida",71,56
"Mercer","Wofford",70,69
"Missouri St","Bradley",61,42
"Montana","North Dakota",65,61
"Mt St Mary's","St Francis PA",82,72
"MTSU","Old Dominion",64,61
"N Colorado","Montana St",78,76
"N Dakota St","S Dakota St",68,57
"Navy","Lafayette",87,61
"Nebraska","Illinois",78,67
"New Mexico St","Chicago St",80,62
"NJIT","Stetson",71,59
"Norfolk St","NC Central",88,79
"North Carolina","NC State",67,55
"North Florida","Kennesaw",93,78
"Northeastern","Delaware",69,60
"Notre Dame","Duke",95,91
"Oakland","Detroit",86,82
"Oklahoma","West Virginia",70,68
"Oral Roberts","W Illinois",77,68
"Penn St","Northwestern",71,62
"Pepperdine","San Francisco",98,84
"Pittsburgh","Boston College",84,61
"Portland","BYU",84,81
"Presbyterian","Radford",69,68
"Rhode Island","La Salle",73,62
"Robert Morris","F Dickinson",64,58
"S Carolina St","Delaware St",90,79
"Samford","W Carolina",84,68
"San Diego St","Boise St",56,53
"Savannah St","MD E Shore",68,61
"Seton Hall","Providence",81,72
"SF Austin","Abilene Chr",97,62
"South Alabama","UT Arlington",88,85
"South Carolina","Missouri",81,72
"Southern Miss","Florida Intl",66,60
"Southern Univ","Ark Pine Bluff",69,55
"Southern Utah","Idaho",85,83
"St Francis NY","Sacred Heart",85,67
"St Joseph's PA","Fordham",80,55
"Stony Brook","New Hampshire",80,50
"Syracuse","Wake Forest",83,55
"TAM C. Christi","Nicholls St",76,71
"Temple","Cincinnati",67,65
"Tennessee","Mississippi St",80,75
"Tennessee St","Murray St",73,71
"Tennessee Tech","SE Missouri St",91,55
"Texas","Oklahoma St",74,69
"Texas A&M","Georgia",79,45
"Toledo","Akron",78,64
"Towson","Drexel",69,50
"Troy","Texas St",66,57
"UTRGV","Missouri KC",71,66
"TX Southern","Jackson St",71,65
"UAB","Charlotte",74,72
"UC Irvine","Santa Barbara",61,52
"UC Riverside","CS Northridge",75,72
"UCF","East Carolina",89,69
"ULL","Georgia St",87,54
"UNC Asheville","Gardner Webb",75,69
"UNC Wilmington","William & Mary",97,94
"UNLV","Air Force",100,64
"UT San Antonio","UTEP",71,67
"Utah St","Colorado St",96,92
"VA Commonwealth","Richmond",94,89
"Valparaiso","WI Green Bay",85,70
"Vanderbilt","Alabama",71,63
"Vermont","Hartford",83,68
"Villanova","Georgetown",55,50
"Virginia Tech","Georgia Tech",78,77
"WKU","North Texas",81,76
"W Michigan","N Illinois",83,69
"Wagner","Central Conn",70,48
"Washington","Arizona St",89,85
"Weber St","CS Sacramento",85,74
"WI Milwaukee","IL Chicago",87,62
"Winthrop","Liberty",74,58
"Wright St","Youngstown St",81,45
"Wyoming","New Mexico",70,68
"Xavier","Marquette",74,66
"Yale","Brown",77,68
"Army","American Univ",65,45
"Canisius","Quinnipiac",63,53
"Colorado","Oregon",91,87
"Connecticut","Houston",69,57
"Creighton","DePaul",91,80
"Florida St","Virginia",69,62
"George Mason","St Louis",92,79
"Iowa","Michigan",82,71
"Manhattan","Niagara",69,64
"Rider","Iona",79,75
"S Illinois","Drake",81,76
"SMU","Tulane",60,45
"St Peter's","Marist",76,67
"UNC Greensboro","VMI",85,68
"Utah","Oregon St",59,53
"Wichita St","Indiana St",82,62
"Wisconsin","Michigan St",77,76
"Albany NY","Binghamton",80,59
"Alcorn St","Ark Pine Bluff",73,65
"Arkansas St","Ark Little Rock",76,73
"Bethune-Cookman","Morgan St",62,50
"Boston Univ","Loyola MD",87,84
"Cleveland St","IL Chicago",70,53
"Coppin St","Florida A&M",70,66
"Hampton","NC Central",80,79
"Iowa St","Oklahoma",82,77
"Jackson St","Prairie View",60,57
"MA Lowell","Vermont",93,82
"Monmouth NJ","Siena",85,69
"New Hampshire","Maine",99,91
"Norfolk St","NC A&T",75,68
"Purdue","Rutgers",107,57
"S Carolina St","MD E Shore",68,63
"Sam Houston St","Nicholls St",87,76
"Savannah St","Delaware St",64,47
"SE Louisiana","Lamar",98,70
"SF Austin","New Orleans",82,58
"Southern Univ","MS Valley St",67,54
"Stony Brook","Hartford",77,43
"Syracuse","Duke",64,62
"Texas Tech","TCU",76,69
"TX Southern","Grambling",69,54
"Valparaiso","Youngstown St",96,65
"Wright St","Detroit",77,76
"Abilene Chr","McNeese St",75,67
"Akron","E Michigan",92,88
"Auburn","Alabama",83,77
"Buffalo","Miami OH",77,60
"Connecticut","Tulane",60,42
"Dayton","St Bonaventure",85,79
"Evansville","Loyola-Chicago",74,66
"Florida","Mississippi St",81,78
"Georgetown","Xavier",81,72
"Georgia St","Ga Southern",69,66
"Houston Bap","Cent Arkansas",72,61
"Indiana","Illinois",103,69
"Kent","Ball St",76,68
"Liberty","Longwood",55,53
"Maryland","Northwestern",62,56
"N Illinois","C Michigan",75,70
"N Kentucky","Oakland",90,73
"NC State","Pittsburgh",78,61
"Ohio","W Michigan",82,64
"Oklahoma St","Kansas",86,67
"Providence","Butler",71,68
"San Diego St","Fresno St",73,67
"SMU","Houston",77,73
"South Carolina","Mississippi",77,74
"St Peter's","Fairfield",77,71
"TAM C. Christi","Northwestern LA",89,79
"Texas A&M","LSU",71,57
"Toledo","Bowling Green",81,74
"Tulsa","East Carolina",84,69
"UNLV","Utah St",80,68
"Virginia","Clemson",69,62
"WI Green Bay","Chicago St",99,66
"American Univ","Lafayette",81,73
"Baylor","Kansas St",79,72
"Boise St","San Jose St",94,69
"Bucknell","Loyola MD",67,58
"Charleston So","Presbyterian",73,72
"Colgate","Boston Univ",85,78
"Colorado St","Air Force",83,79
"DePaul","Marquette",57,56
"Fordham","George Mason",73,62
"Georgia","Missouri",60,57
"High Point","UNC Asheville",73,69
"Holy Cross","Army",69,65
"Howard","Delaware St",71,67
"Illinois St","Bradley",55,52
"Long Beach St","Santa Barbara",77,67
"Louisville","Florida St",84,65
"Miami FL","Boston College",67,53
"Michigan","Minnesota",74,69
"Missouri St","Drake",79,70
"Navy","Lehigh",69,64
"Nebraska","Michigan St",72,71
"Nevada","Wyoming",75,69
"North Carolina","Wake Forest",83,68
"Notre Dame","Virginia Tech",83,81
"Radford","Campbell",78,66
"S Illinois","Indiana St",79,66
"South Dakota","W Illinois",76,67
"St Joseph's PA","Penn",75,60
"St Louis","Davidson",96,87
"Temple","La Salle",62,49
"Texas","West Virginia",56,49
"UC Irvine","CS Fullerton",72,59
"UCF","South Florida",64,54
"UCLA","Oregon St",82,73
"VA Commonwealth","Duquesne",93,71
"Vanderbilt","Tennessee",88,74
"Villanova","Seton Hall",72,71
"Washington","Colorado",95,83
"Wichita St","Northern Iowa",74,55
"Winthrop","Gardner Webb",71,58
"Appalachian St","Georgia St",76,67
"Arizona","Stanford",71,57
"Ark Little Rock","Texas St",77,74
"Austin Peay","Edwardsville",90,86
"Belmont","TN Martin",82,72
"BYU","Loy Marymount",91,80
"California","Arizona St",75,70
"Charlotte","Marshall",103,95
"Chattanooga","UNC Greensboro",73,60
"Cincinnati","Memphis",76,72
"Citadel","W Carolina",92,91
"Col Charleston","Towson",40,37
"CS Bakersfield","UTRGV",77,58
"CS Northridge","Cal Poly SLO",76,74
"E Kentucky","Jacksonville St",91,88
"ETSU","Mercer",65,63
"F Dickinson","Long Island",101,95
"FL Gulf Coast","Kennesaw",79,74
"Florida Intl","UT San Antonio",72,56
"Grand Canyon","Chicago St",90,65
"Hartford","UMBC",98,87
"Hofstra","Northeastern",96,92
"Idaho","Montana",63,58
"Iowa","Rutgers",90,76
"IPFW","N Dakota St",79,74
"James Madison","Drexel",68,45
"Kentucky","Arkansas",80,66
"Lipscomb","Stetson",92,87
"Manhattan","Monmouth NJ",78,71
"Montana St","E Washington",85,71
"Morehead St","Tennessee Tech",81,74
"MTSU","North Texas",86,64
"Murray St","E Illinois",68,58
"N Colorado","Southern Utah",90,80
"NE Omaha","Denver",69,55
"New Hampshire","MA Lowell",78,76
"New Mexico St","Seattle",68,60
"NJIT","Jacksonville",83,63
"North Dakota","Northern Arizona",101,59
"North Florida","SC Upstate",78,62
"Old Dominion","WKU",68,62
"Oregon","USC",89,81
"Pacific","Portland",70,61
"Pepperdine","San Diego",76,58
"Purdue","Ohio St",75,64
"Robert Morris","Central Conn",59,45
"S Dakota St","Oral Roberts",86,74
"Sacred Heart","Mt St Mary's",76,71
"San Francisco","Santa Clara",74,61
"Siena","Rider",63,52
"St Francis PA","Bryant",71,65
"St Mary's CA","Gonzaga",70,67
"UAB","Rice",82,70
"UC Davis","UC Riverside",58,55
"ULL","South Alabama",92,82
"ULM","Troy",85,74
"UNC Wilmington","Delaware",79,70
"UT Arlington","Arkansas St",91,64
"Utah","Washington St",92,71
"Utah Valley","Missouri KC",90,79
"UTEP","FL Atlantic",71,56
"Vermont","Binghamton",61,52
"VMI","Samford",83,76
"Wagner","St Francis NY",83,59
"William & Mary","Elon",89,67
"Wisconsin","Penn St",66,60
"Canisius","Niagara",70,61
"Fairfield","Marist",88,76
"G Washington","Rhode Island",62,58
"Iona","St Peter's",64,58
"N Kentucky","IL Chicago",82,69
"Stony Brook","Albany NY",69,63
"Wright St","Valparaiso",73,62
"Akron","Miami OH",75,46
"Alcorn St","Alabama A&M",63,58
"Ark Little Rock","UT Arlington",68,62
"Ark Pine Bluff","Prairie View",45,44
"Ball St","E Michigan",88,87
"Belmont","Tennessee St",103,95
"Boise St","Wyoming",81,71
"Bucknell","Boston Univ",74,71
"C Michigan","Ohio",72,49
"Cal Poly SLO","CS Fullerton",83,75
"California","Arizona",74,73
"Cent Arkansas","Nicholls St",94,83
"Charlotte","WKU",88,71
"Coastal Car","Charleston So",78,63
"Col Charleston","Delaware",59,58
"Colorado","Washington St",75,70
"Columbia","Cornell",79,68
"Connecticut","Georgetown",68,62
"Creighton","Butler",72,64
"Dartmouth","Harvard",63,50
"Duke","NC State",88,78
"Duquesne","George Mason",86,75
"E Illinois","Austin Peay",87,86
"ETSU","Citadel",101,92
"FL Atlantic","UT San Antonio",86,71
"Florida","Auburn",95,63
"Florida Intl","UTEP",79,69
"Fresno St","Air Force",56,55
"Furman","Wofford",63,62
"Georgia","Arkansas",76,73
"Gonzaga","Pacific",71,61
"Grand Canyon","Missouri KC",85,78
"Hampton","Savannah St",75,52
"Hawaii","UC Davis",78,62
"Hofstra","William & Mary",91,63
"Houston Bap","Lamar",92,79
"Idaho St","Weber St",69,68
"Illinois","Minnesota",76,71
"Illinois St","Northern Iowa",76,67
"Incarnate Word","Abilene Chr",74,60
"Indiana","Northwestern",89,57
"Iowa St","TCU",73,60
"IUPUI","IPFW",84,82
"Jackson St","Grambling",60,45
"Jacksonville","SC Upstate",77,68
"Jacksonville St","Morehead St",78,74
"James Madison","Elon",82,64
"Kansas","Texas",76,67
"Kansas St","Oklahoma St",89,73
"Kent","Bowling Green",62,59
"Kentucky","Vanderbilt",76,57
"Liberty","High Point",69,67
"Lipscomb","FL Gulf Coast",91,75
"Louisiana Tech","Southern Miss",70,59
"Louisville","Georgia Tech",75,71
"Loy Marymount","San Diego",67,63
"Loyola-Chicago","Drake",68,63
"LSU","Alabama",72,70
"Marquette","St John's",78,73
"Marshall","Old Dominion",78,75
"McNeese St","Northwestern LA",75,74
"MD E Shore","Bethune-Cookman",74,72
"Miami FL","Wake Forest",77,63
"Michigan","Nebraska",81,68
"Michigan St","Maryland",74,65
"Mississippi St","Mississippi",83,77
"Montana","E Washington",74,69
"Montana St","Idaho",70,68
"Mt St Mary's","F Dickinson",87,72
"MTSU","Rice",87,73
"Murray St","Edwardsville",70,54
"N Colorado","Northern Arizona",84,79
"N Dakota St","W Illinois",65,52
"N Illinois","Toledo",58,49
"NE Omaha","Oral Roberts",85,79
"Nevada","UNLV",65,63
"New Mexico","San Jose St",83,64
"New Mexico St","CS Bakersfield",68,67
"Norfolk St","S Carolina St",87,74
"North Dakota","Southern Utah",88,72
"North Florida","NJIT",94,80
"Notre Dame","Boston College",76,49
"Oakland","WI Green Bay",111,95
"Oklahoma","Baylor",82,72
"Oregon","UCLA",86,72
"Pepperdine","BYU",71,65
"Pittsburgh","Florida St",74,72
"Portland St","CS Sacramento",81,63
"Providence","Villanova",82,76
"Radford","Gardner Webb",69,59
"Robert Morris","Bryant",65,54
"S Dakota St","South Dakota",79,75
"Sacred Heart","Wagner",67,58
"San Diego St","Utah St",70,55
"Santa Barbara","CS Northridge",74,61
"SE Missouri St","TN Martin",68,60
"Seattle","UTRGV",70,59
"SF Austin","Sam Houston St",76,64
"South Florida","Houston",71,62
"Southern Univ","Alabama St",73,69
"St Francis NY","Long Island",64,49
"St Francis PA","Central Conn",79,64
"St Joseph's PA","La Salle",69,48
"St Louis","Massachusetts",86,75
"St Mary's CA","Portland",89,74
"Stanford","Arizona St",75,73
"Stetson","Kennesaw",84,79
"TAM C. Christi","New Orleans",97,76
"Temple","SMU",89,80
"Tennessee","South Carolina",78,69
"Tennessee Tech","E Kentucky",89,83
"Texas A&M","Missouri",66,53
"Texas St","Arkansas St",78,68
"Towson","Northeastern",79,72
"TX Southern","MS Valley St",75,60
"UAB","North Texas",78,57
"UC Riverside","Long Beach St",74,72
"ULL","Troy",88,65
"ULM","South Alabama",100,68
"UNC Asheville","Presbyterian",67,55
"UNC Greensboro","Samford",86,78
"UNC Wilmington","Drexel",77,71
"Utah Valley","Chicago St",82,76
"VA Commonwealth","St Bonaventure",84,76
"Virginia","Syracuse",73,65
"W Carolina","Mercer",86,80
"W Michigan","Buffalo",91,71
"West Virginia","Texas Tech",80,76
"WI Milwaukee","Detroit",83,80
"Wichita St","Bradley",88,54
"Winthrop","Longwood",82,68
"Xavier","Seton Hall",84,76
"Yale","Brown",90,66
"Binghamton","MA Lowell",64,57
"Cincinnati","Tulane",97,75
"Colgate","Holy Cross",76,61
"Dayton","Fordham",64,50
"East Carolina","Memphis",84,83
"Fairfield","Iona",98,91
"Indiana St","Evansville",82,65
"Iowa","Purdue",83,71
"Monmouth NJ","Marist",83,72
"New Hampshire","Hartford",84,71
"North Carolina","Virginia Tech",75,70
"Oregon St","USC",85,70
"Rider","Quinnipiac",75,52
"S Illinois","Missouri St",80,65
"Siena","Canisius",99,78
"Tulsa","UCF",75,60
"Utah","Washington",80,75
"Valparaiso","N Kentucky",71,46
"Vermont","UMBC",79,72
"Wright St","IL Chicago",80,66
"Youngstown St","Cleveland St",70,55
"Alcorn St","Alabama St",77,72
"Bucknell","Lafayette",79,67
"Davidson","Richmond",78,70
"Delaware St","NC A&T",57,55
"Furman","VMI",68,56
"Ga Southern","Appalachian St",101,100
"Howard","Bethune-Cookman",70,68
"Iowa St","Kansas",85,72
"McNeese St","Incarnate Word",79,76
"Miami FL","Duke",80,69
"MS Valley St","Prairie View",76,73
"New Orleans","Cent Arkansas",94,83
"Norfolk St","Savannah St",92,73
"Northwestern LA","Nicholls St",88,80
"Oakland","WI Milwaukee",82,79
"Ohio St","Penn St",66,46
"S Carolina St","Hampton",67,62
"Sam Houston St","Abilene Chr",72,51
"SF Austin","Lamar",86,52
"Southern Univ","Alabama A&M",73,52
"Stony Brook","Maine",81,54
"TX Southern","Ark Pine Bluff",78,49
"Virginia","Wake Forest",72,71
"WI Green Bay","Detroit",115,108
"Akron","N Illinois",76,66
"Alabama","Tennessee",63,57
"Bowling Green","W Michigan",79,78
"Buffalo","Ball St",76,64
"C Michigan","Miami OH",68,51
"Duquesne","La Salle",87,60
"Florida St","Boston College",72,62
"Georgetown","Creighton",74,73
"Illinois St","Drake",76,64
"Kent","E Michigan",73,58
"LSU","Georgia",89,85
"Memphis","UCF",97,86
"Ohio","Toledo",81,79
"Oklahoma","Texas Tech",91,67
"San Diego St","Nevada",57,54
"Siena","Niagara",82,70
"South Alabama","Troy",66,58
"South Carolina","Mississippi St",84,74
"TAM C. Christi","SE Louisiana",73,63
"Texas","TCU",71,54
"Vanderbilt","Florida",60,59
"West Virginia","Kansas St",70,55
"Wisconsin","Indiana",82,79
"Xavier","Providence",75,68
"Albany NY","MA Lowell",75,63
"American Univ","Navy",63,58
"Arkansas","Texas A&M",74,71
"Baylor","Oklahoma St",69,65
"Binghamton","UMBC",66,57
"Boston Univ","Army",76,67
"Butler","DePaul",67,53
"Clemson","Pittsburgh",73,60
"Coastal Car","UNC Asheville",68,66
"Colorado","Stanford",91,75
"Colorado St","San Jose St",74,66
"Coppin St","NC A&T",73,68
"Dayton","St Louis",73,37
"Delaware St","NC Central",71,60
"East Carolina","Temple",64,61
"Fresno St","Wyoming",71,60
"Georgia Tech","NC State",90,83
"High Point","Campbell",73,63
"Houston","Tulsa",81,66
"Indiana St","Missouri St",68,59
"Jacksonville","FL Gulf Coast",78,69
"Kennesaw","SC Upstate",78,75
"Kentucky","Missouri",88,54
"Lehigh","Colgate",79,70
"Liberty","Gardner Webb",69,55
"Lipscomb","NJIT",81,72
"Louisville","Virginia Tech",91,83
"Loyola MD","Holy Cross",71,54
"Maine","Hartford",105,100
"Marquette","Stetson",74,60
"Michigan","Rutgers",68,57
"Mississippi","Auburn",80,63
"Morehead St","Austin Peay",75,65
"Murray St","E Kentucky",75,71
"New Mexico","Air Force",84,55
"Northern Iowa","Bradley",68,50
"Purdue","Minnesota",68,64
"Radford","Longwood",90,81
"Rhode Island","Fordham",79,63
"Seton Hall","St John's",79,60
"South Florida","Tulane",73,60
"St Joseph's PA","Massachusetts",78,70
"UC Davis","CS Fullerton",69,64
"UC Irvine","CS Northridge",73,63
"UNLV","Boise St",87,77
"Utah","California",73,64
"Vermont","New Hampshire",66,50
"Wichita St","Loyola-Chicago",80,54
"Winthrop","Charleston So",97,72
"Appalachian St","Troy",75,71
"Arizona St","Oregon St",86,68
"Ark Little Rock","Ga Southern",80,67
"Arkansas St","Georgia St",75,69
"Belmont","Jacksonville St",72,63
"BYU","Loy Marymount",87,62
"Central Conn","Bryant",78,67
"Charlotte","Florida Intl",72,69
